(now), 72783, $72783
(now), 72784, $72784
(now), 72784, $72784
(now), 72797, $72797
(now), 72797, $72797
(now), 72877, $72877
(now), 72949, $72949
(now), 72949, $72949
(now), 72951, $72951
(now), 72951, $72951
(now), 72977, $72977
(now), 73045, $73045
(now), 73045, $73045
(now), 73033, $73033
(now), 73033, $73033
(now), 72973, $72973
(now), 72973, $72973
(now), 72972, $72972
(now), 85.14, $85.14
(now), 85.14, $85.14
2026/04/10 15:34:40, 2249.22, $2249.22
2026/04/10 15:34:56, 2249.22, $2249.22
2026 04 10 15:35:34, 5.257e-05, $5.257e-05
2026 04 10 15:35:45, 5.257e-05, $5.257e-05
2026 04 10 15:35:56, 5.257e-05, $5.257e-05
2026 04 10 15:36:07, 5.257e-05, $5.257e-05
2026 04 10 15:37:25, 5.257e-05, $5.257e-05
2026 04 10 15:37:36, 5.257e-05, $5.257e-05
2026 04 10 15:38:52, bitcoin, $73089
2026 04 10 15:39:03, bitcoin, $73089
2026 04 10 15:39:14, bitcoin, $73089
2026 04 10 15:40:31, bitcoin, $73102
2026 04 10 15:40:42, bitcoin, $73102
2026 04 10 15:40:54, bitcoin, $73102
2026 04 10 15:41:05, bitcoin, $73102
2026 04 10 15:50:51, bitcoin, $72897
2026 04 10 15:51:27, bitcoin, $72855
2026 04 10 15:51:38, bitcoin, $72855
2026 04 10 15:51:49, bitcoin, $72855
2026 04 10 15:53:07, bitcoin, $72856
2026 04 10 15:53:18, bitcoin, $72856
2026 04 10 15:53:29, bitcoin, $72900
2026 04 10 16:14:02, bitcoin, $73125
2026 04 10 16:14:13, bitcoin, $73125
2026 04 10 16:14:24, bitcoin, $73089
2026 04 10 16:15:49, solana, $85.21
2026 04 10 16:16:01, solana, $85.21
2026 04 10 16:16:12, solana, $85.21
2026 04 10 16:16:23, solana, $85.21
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
2026 04 10 16:28:50, bitcoin, $72954
